11410: h(0)
5588: h(1)
5564: h(2)
4771: h(3)
5990: h(4)
4055: h(5)
5129: h(6)
4036: h(7)
5006: h(8)
4378: h(9)
4137: h(10)
3871: h(11)
4636: h(12)
4065: h(13)
3377: h(14)
3210: h(15)
4826: h(16)
4576: h(17)
4441: h(18)
4479: h(19)
3421: h(20)
4178: h(21)
4506: h(22)
3802: h(23)
4721: h(24)
3917: h(25)
4510: h(26)
4477: h(27)
2699: h(28)
4298: h(29)
3737: h(30)
3716: h(31)
7066: h(32)
3665: h(33)
5270: h(34)
4580: h(35)
6297: h(36)
2882: h(37)
4864: h(38)
4176: h(39)
3297: h(40)
3118: h(41)
4718: h(42)
3982: h(43)
4444: h(44)
3386: h(45)
3295: h(46)
3240: h(47)
3983: h(48)
5012: h(49)
4190: h(50)
3925: h(51)
3326: h(52)
3650: h(53)
4409: h(54)
4195: h(55)
2732: h(56)
2731: h(57)
4470: h(58)
3712: h(59)
2666: h(60)
3623: h(61)
3874: h(62)
3615: h(63)
5791: h(64)
5974: h(65)
3538: h(66)
3280: h(67)
4234: h(68)
4172: h(69)
3884: h(70)
3322: h(71)
6088: h(72)
5643: h(73)
3860: h(74)
3193: h(75)
4886: h(76)
3332: h(77)
3806: h(78)
3381: h(79)
4267: h(80)
3679: h(81)
4657: h(82)
3142: h(83)
4297: h(84)
3626: h(85)
4154: h(86)
3081: h(87)
5137: h(88)
3871: h(89)
4463: h(90)
3394: h(91)
3792: h(92)
2710: h(93)
3339: h(94)
2987: h(95)
4839: h(96)
3350: h(97)
5071: h(98)
4778: h(99)
3968: h(100)
3025: h(101)
3903: h(102)
2968: h(103)
3624: h(104)
4149: h(105)
4136: h(106)
4235: h(107)
3485: h(108)
4529: h(109)
4275: h(110)
3735: h(111)
3066: h(112)
4107: h(113)
4069: h(114)
2915: h(115)
3479: h(116)
3764: h(117)
3330: h(118)
2976: h(119)
3111: h(120)
3021: h(121)
3919: h(122)
2824: h(123)
3387: h(124)
3341: h(125)
3196: h(126)
3204: h(127)
5535: h(128)
4743: h(129)
4707: h(130)
4427: h(131)
3328: h(132)
3882: h(133)
3370: h(134)
2537: h(135)
4444: h(136)
4276: h(137)
3418: h(138)
4666: h(139)
3899: h(140)
5131: h(141)
3516: h(142)
4150: h(143)
5787: h(144)
5271: h(145)
4692: h(146)
4678: h(147)
3118: h(148)
4591: h(149)
3301: h(150)
2654: h(151)
4426: h(152)
4206: h(153)
2435: h(154)
3955: h(155)
2786: h(156)
4150: h(157)
2536: h(158)
3577: h(159)
4708: h(160)
3299: h(161)
3262: h(162)
2741: h(163)
5652: h(164)
4163: h(165)
3380: h(166)
3146: h(167)
4644: h(168)
4637: h(169)
3296: h(170)
3306: h(171)
4660: h(172)
4321: h(173)
3261: h(174)
3092: h(175)
4059: h(176)
4847: h(177)
3010: h(178)
3088: h(179)
4477: h(180)
4648: h(181)
3568: h(182)
3835: h(183)
4643: h(184)
4137: h(185)
2738: h(186)
2677: h(187)
3424: h(188)
3298: h(189)
2789: h(190)
2860: h(191)
4342: h(192)
3267: h(193)
3602: h(194)
2919: h(195)
4744: h(196)
3853: h(197)
5032: h(198)
4356: h(199)
4547: h(200)
3804: h(201)
3842: h(202)
2827: h(203)
3631: h(204)
3063: h(205)
3068: h(206)
2670: h(207)
3876: h(208)
2281: h(209)
5130: h(210)
3613: h(211)
4786: h(212)
2884: h(213)
4979: h(214)
3369: h(215)
3558: h(216)
2141: h(217)
4719: h(218)
3909: h(219)
4730: h(220)
2634: h(221)
3358: h(222)
2663: h(223)
2748: h(224)
3007: h(225)
3342: h(226)
4532: h(227)
4207: h(228)
3448: h(229)
2843: h(230)
2848: h(231)
2489: h(232)
4683: h(233)
3642: h(234)
4050: h(235)
2351: h(236)
4165: h(237)
3195: h(238)
2385: h(239)
2675: h(240)
3805: h(241)
3766: h(242)
2599: h(243)
3626: h(244)
3913: h(245)
3061: h(246)
2671: h(247)
3519: h(248)
3288: h(249)
3288: h(250)
2847: h(251)
3285: h(252)
2984: h(253)
3243: h(254)
3275: h(255)
